Date,Author,Content
2024-01-01 00:39:03,Alice,cool cool
2024-01-01 01:16:08,Bob,nothing nvm
2024-01-01 01:24:28,Alice,perfect
2024-01-01 02:06:57,Bob,nothing nvm
2024-01-01 02:10:54,Bob,bruh
2024-01-01 03:25:37,Bob,okay!
2024-01-01 04:01:16,Alice,miss you too
2024-01-01 04:58:48,Bob,wanna grab lunch?
2024-01-01 05:05:17,Alice,good morning!
2024-01-01 06:28:49,Bob,huh
2024-01-01 06:45:42,Alice,what's up
2024-01-01 06:48:13,Alice,yeah let's call
2024-01-01 06:50:10,Bob,bye!
2024-01-01 08:31:27,Bob,i wish
2024-01-01 08:48:26,Bob,okayy
2024-01-01 09:03:37,Alice,how was your day?
2024-01-01 09:29:33,Bob,sounds good
2024-01-01 09:30:48,Alice,yooo
2024-01-01 11:35:44,Bob,cool cool
2024-01-01 13:38:27,Bob,okay actually one more thing
2024-01-01 16:00:00,Bob,talk soon?
2024-01-01 16:54:34,Alice,see you then
2024-01-01 19:38:48,Bob,we could go for a walk
2024-01-01 20:02:55,Bob,what??
2024-01-01 20:32:24,Bob,bye for real this time
2024-01-01 22:34:52,Bob,true true
2024-01-01 22:36:25,Alice,how about that new one on netflix
2024-01-02 00:19:29,Bob,okay okay
2024-01-02 01:00:22,Alice,for sure
2024-01-02 01:01:01,Alice,i'm so tired tho
2024-01-02 01:54:55,Alice,ofc
2024-01-02 03:11:32,Bob,freedom at last
2024-01-02 03:17:58,Alice,we could go for a walk
2024-01-02 03:30:49,Bob,byeee
2024-01-02 04:16:19,Alice,agreed
2024-01-02 04:49:41,Bob,okay!
2024-01-02 07:04:49,Bob,rip
2024-01-02 09:17:35,Alice,yes please
2024-01-02 09:54:52,Bob,perfect
2024-01-02 10:15:42,Alice,definitely
2024-01-02 11:14:00,Bob,it happens
2024-01-02 12:34:09,Alice,ok i'm back
2024-01-02 13:03:04,Alice,see you then
2024-01-02 13:05:18,Bob,we should hang out more
2024-01-02 13:29:10,Alice,we should hang out more
2024-01-02 13:41:43,Alice,yeah let's call
2024-01-02 13:59:37,Alice,"perfect, saturday it is"
2024-01-02 14:39:26,Bob,omg you won't believe what happened
2024-01-02 14:53:54,Alice,you're good
2024-01-02 14:55:44,Bob,cool cool
2024-01-02 15:11:02,Alice,okay fr tho i gotta go now
2024-01-02 16:25:54,Bob,glad it's over
2024-01-02 18:11:11,Bob,💀
2024-01-02 19:30:00,Alice,be right back
2024-01-02 20:13:45,Bob,glad it's over
2024-01-02 20:14:44,Alice,literally
2024-01-02 20:52:20,Bob,that was fun
2024-01-02 21:16:56,Bob,you're the best
2024-01-02 21:52:03,Alice,wanna watch a movie tonight?
2024-01-03 02:01:16,Alice,hey what's up
2024-01-03 02:30:42,Bob,for sure
2024-01-03 03:04:08,Alice,definitely
2024-01-03 03:17:34,Bob,nice
2024-01-03 03:49:27,Alice,appreciate it
2024-01-03 05:16:37,Bob,bet
2024-01-03 07:35:59,Alice,now we can chill
2024-01-03 07:42:52,Bob,for sure
2024-01-03 08:32:39,Alice,bye for real this time
2024-01-03 08:44:13,Alice,which one?
2024-01-03 08:59:35,Alice,it's been too long
2024-01-03 09:28:23,Bob,omg you won't believe what happened
2024-01-03 09:44:12,Bob,okay!
2024-01-03 12:03:26,Alice,lol bye
2024-01-03 12:07:00,Alice,okay!
2024-01-03 12:12:21,Bob,nevermind lol
2024-01-03 12:32:41,Bob,how about that new one on netflix
2024-01-03 12:40:24,Alice,BYE
2024-01-03 13:13:01,Alice,maybe 8?
2024-01-03 13:22:42,Bob,i know right
2024-01-03 15:16:57,Alice,okayy
2024-01-03 16:14:02,Bob,what time works for you?
2024-01-03 17:28:51,Alice,what time works for you?
2024-01-03 18:38:25,Bob,yooo
2024-01-03 19:56:31,Bob,pretty good
2024-01-03 20:46:15,Bob,sorry for the late reply
2024-01-03 21:33:56,Bob,i have class soon
2024-01-03 22:38:11,Alice,np
2024-01-03 22:47:50,Bob,that's crazy
2024-01-03 22:53:30,Alice,rip
2024-01-04 01:01:38,Bob,same
2024-01-04 01:02:09,Alice,oh btw
2024-01-04 02:11:12,Bob,sorry for the late reply
2024-01-04 04:23:54,Alice,yooo
2024-01-04 05:44:27,Bob,anytime
2024-01-04 05:51:18,Alice,thanks!
2024-01-04 06:52:40,Bob,idk yet
2024-01-04 07:44:45,Alice,sounds good
2024-01-04 07:53:51,Bob,definitely
2024-01-04 08:24:15,Alice,i'm so tired tho
2024-01-04 08:48:17,Alice,we should hang out more
2024-01-04 09:14:13,Bob,what's up
2024-01-04 09:15:50,Alice,me too
2024-01-04 09:49:34,Bob,so are you
2024-01-04 10:55:29,Alice,pretty good
2024-01-04 10:59:45,Bob,took me forever
2024-01-04 12:38:33,Alice,me too
2024-01-04 12:51:26,Bob,that's crazy
2024-01-04 13:18:07,Alice,give me a min
2024-01-04 14:51:48,Bob,idk yet
2024-01-04 15:39:44,Alice,yes?
2024-01-04 16:42:53,Alice,anything good?
2024-01-04 17:01:22,Alice,wanna do something?
2024-01-04 17:02:54,Bob,nice
2024-01-04 17:23:12,Alice,bye for real this time
2024-01-04 17:27:52,Bob,wanna grab lunch?
2024-01-04 17:35:26,Alice,you're good
2024-01-04 17:58:36,Bob,i know 😂
2024-01-04 18:33:07,Alice,sounds like a plan
2024-01-04 18:37:23,Bob,miss you
2024-01-04 19:03:45,Alice,nice
2024-01-04 20:06:36,Bob,ttyl
2024-01-04 20:21:34,Bob,we could go for a walk
2024-01-04 20:56:43,Bob,me too
2024-01-04 21:37:50,Bob,it's been too long
2024-01-04 22:27:44,Alice,i have class soon
2024-01-05 00:44:21,Bob,miss you too
2024-01-05 00:58:11,Alice,BYE
2024-01-05 01:29:12,Bob,huh
2024-01-05 04:34:27,Alice,idk you pick
2024-01-05 05:04:10,Bob,i wish
2024-01-05 05:23:22,Alice,i'm so tired tho
2024-01-05 05:35:58,Bob,okay okay
2024-01-05 07:05:09,Bob,np
2024-01-05 07:08:37,Alice,definitely
2024-01-05 07:16:38,Alice,sure! where?
2024-01-05 10:00:48,Bob,yes please
2024-01-05 13:30:18,Bob,i'm so bored
2024-01-05 16:29:32,Alice,anytime
2024-01-05 16:33:17,Bob,oh yeah i heard about that
2024-01-05 17:18:43,Bob,not bad
2024-01-05 18:27:55,Alice,maybe
2024-01-05 19:00:39,Alice,see you then
2024-01-05 19:22:30,Bob,you got this
2024-01-05 20:07:04,Bob,just watching tv
2024-01-05 20:23:45,Alice,lol
2024-01-05 20:29:48,Alice,💀
2024-01-05 21:11:26,Bob,yeah seriously
2024-01-05 21:30:21,Bob,sounds like a plan
2024-01-05 22:59:43,Alice,thank you so much
2024-01-05 23:00:47,Bob,now we can chill
2024-01-06 00:33:52,Alice,anything good?
2024-01-06 00:36:20,Bob,just background noise
2024-01-06 00:38:44,Alice,perfect
2024-01-06 00:49:42,Bob,go back to sleep then
2024-01-06 02:31:13,Alice,idk yet
2024-01-06 04:06:20,Bob,i know right
2024-01-06 05:20:55,Bob,how about that new one on netflix
2024-01-06 05:31:22,Alice,all good
2024-01-06 06:25:52,Bob,true true
2024-01-06 06:28:23,Bob,just background noise
2024-01-06 06:37:02,Alice,yeah finally
2024-01-06 06:54:42,Bob,rip
2024-01-06 07:01:14,Bob,how was your day?
2024-01-06 07:26:47,Alice,literally
2024-01-06 08:59:00,Bob,this is gonna be fun
2024-01-06 09:16:13,Bob,way too long
2024-01-06 09:37:41,Bob,say less
2024-01-06 10:39:45,Bob,aww thanks
2024-01-06 11:03:32,Bob,for sure
2024-01-06 11:39:43,Bob,idk yet
2024-01-06 12:26:25,Alice,agreed
2024-01-06 13:43:32,Bob,rip
2024-01-06 14:54:27,Alice,definitely
2024-01-06 15:47:27,Bob,which one?
2024-01-06 17:50:57,Bob,okay bye
2024-01-06 18:15:57,Alice,maybe 8?
2024-01-06 18:19:02,Bob,okay!
2024-01-06 18:30:30,Alice,no cap
2024-01-06 20:44:25,Bob,wanna grab lunch?
2024-01-06 21:00:53,Bob,byeee
2024-01-06 21:15:54,Alice,so are you
2024-01-06 21:17:09,Bob,not really
2024-01-06 21:46:07,Bob,ofc
2024-01-06 23:47:18,Alice,go back to sleep then
2024-01-07 00:33:46,Bob,lmao
2024-01-07 00:38:21,Alice,nice
2024-01-07 00:50:06,Bob,give me a min
2024-01-07 01:54:01,Alice,tell me
2024-01-07 03:33:42,Bob,thanks i'll need it
2024-01-07 04:02:40,Alice,you're the best
2024-01-07 05:20:08,Alice,definitely
2024-01-07 07:01:39,Bob,"pretty good, yours?"
2024-01-07 07:02:30,Alice,oh damn
2024-01-07 08:23:46,Bob,thanks for understanding
2024-01-07 08:28:08,Alice,wanna watch a movie tonight?
2024-01-07 09:20:58,Bob,ofc
2024-01-07 09:22:22,Alice,yes please
2024-01-07 09:59:51,Bob,what's up
2024-01-07 11:19:45,Alice,maybe
2024-01-07 17:17:30,Bob,let's do it
2024-01-07 19:06:24,Bob,wanna grab lunch?
2024-01-07 19:17:02,Bob,aww thanks
2024-01-07 20:01:25,Alice,anytime
2024-01-07 20:59:02,Bob,yeah finally
2024-01-07 21:05:58,Alice,you got this
2024-01-07 21:35:49,Bob,what time works for you?
2024-01-07 22:08:44,Bob,i'm dead
2024-01-07 22:19:20,Alice,sounds like a plan
2024-01-07 22:39:37,Bob,perfect
2024-01-07 22:46:26,Alice,lmao
2024-01-07 23:16:12,Alice,nice
2024-01-08 02:39:55,Alice,cool cool
2024-01-08 02:45:52,Bob,you're so dramatic
2024-01-08 04:21:11,Alice,anytime
2024-01-08 04:49:55,Bob,lmaoo
2024-01-08 05:07:26,Bob,yeah finally
2024-01-08 05:50:17,Alice,what??
2024-01-08 06:07:52,Bob,i know right
2024-01-08 08:13:02,Alice,it's nice outside
2024-01-08 08:26:14,Bob,rip
2024-01-08 08:53:56,Alice,miss you too
2024-01-08 10:48:53,Bob,oh damn
2024-01-08 11:49:35,Alice,always
2024-01-08 11:57:21,Bob,same
2024-01-08 12:11:38,Bob,it's been too long
2024-01-08 13:50:52,Bob,wanna grab lunch?
2024-01-08 15:07:09,Alice,pretty good
2024-01-08 15:12:51,Bob,you're so dramatic
2024-01-08 15:13:21,Alice,not bad
2024-01-08 15:50:48,Bob,thanks bestie
2024-01-08 15:51:35,Bob,not bad
2024-01-08 16:03:23,Alice,but you love me anyway
2024-01-08 16:13:45,Bob,you too
2024-01-08 16:14:34,Alice,what are you doing rn?
2024-01-08 17:02:33,Alice,you too
2024-01-08 17:26:05,Bob,thanks for understanding
2024-01-08 19:35:32,Bob,you're the best
2024-01-08 21:25:26,Alice,bruh
2024-01-08 21:27:05,Bob,facts
2024-01-08 22:33:27,Alice,same here
2024-01-08 23:07:38,Bob,but you love me anyway
2024-01-08 23:15:52,Alice,aww thanks
2024-01-08 23:45:04,Alice,i wish
2024-01-08 23:53:34,Alice,lol
2024-01-09 00:44:04,Bob,appreciate it
2024-01-09 02:01:57,Alice,yeah let's call
2024-01-09 02:29:45,Alice,how about this weekend?
2024-01-09 02:44:33,Bob,let's plan something soon
2024-01-09 03:14:29,Alice,np
2024-01-09 03:30:55,Bob,maybe 8?
2024-01-09 04:45:49,Alice,calling you now
2024-01-09 05:56:28,Bob,me neither
2024-01-09 06:33:51,Alice,same
2024-01-09 06:33:55,Bob,wait
2024-01-09 07:13:04,Bob,not bad
2024-01-09 07:57:28,Alice,how about chipotle?
2024-01-09 08:35:59,Alice,maybe 8?
2024-01-09 09:52:00,Alice,lmao
2024-01-09 11:21:43,Bob,have a good day!
2024-01-09 11:24:18,Bob,now we can chill
